URL,Type,Description
https://groww.in/mutual-funds/hdfc-mid-cap-fund-direct-growth,Scheme,HDFC Mid-Cap Opportunities Fund
https://groww.in/mutual-funds/hdfc-small-cap-fund-direct-growth,Scheme,HDFC Small Cap Fund
https://groww.in/mutual-funds/hdfc-gold-etf-fund-of-fund-direct-plan-growth,Scheme,HDFC Gold ETF Fund of Fund
https://groww.in/mutual-funds/hdfc-large-cap-fund-direct-growth,Scheme,HDFC Top 100 Fund
https://groww.in/mutual-funds/hdfc-elss-tax-saver-fund-direct-plan-growth,Scheme,HDFC ELSS Tax Saver Fund
https://groww.in/help/mutual-funds/statements/how-to-download-mutual-fund-statement,Help Article,How to download mutual fund statement
https://groww.in/help/mutual-funds/taxation/how-to-download-capital-gains-statement,Help Article,How to download capital gains statement
https://groww.in/help/mutual-funds/taxation/elss-tax-saving-investment-proof,Help Article,ELSS tax saving investment proof
https://groww.in/help/mutual-funds/taxation/how-is-tax-calculated-on-mutual-funds,Help Article,How is tax calculated on mutual funds
https://groww.in/help/mutual-funds/statements/what-is-a-consolidated-account-statement-cas,Help Article,What is a Consolidated Account Statement (CAS)
https://groww.in/help/mutual-funds/general/what-is-expense-ratio,Help Article,What is expense ratio
https://groww.in/help/mutual-funds/general/what-is-exit-load,Help Article,What is exit load
https://groww.in/help/mutual-funds/general/what-is-nav-net-asset-value,Help Article,What is NAV (Net Asset Value)
https://groww.in/help/mutual-funds/general/what-is-a-riskometer,Help Article,What is a riskometer
https://groww.in/help/mutual-funds/sips/what-is-the-minimum-sip-amount,Help Article,What is the minimum SIP amount
